p1,x,y,label
0,0,619423,0
1,3979,611132,0
2,4433,612479,0
3,5696,603462,0
4,5750,607125,0
5,5890,598055,0
6,5954,598307,0
7,6004,608105,0
8,6255,606802,0
9,6648,599495,0
10,7098,600400,0
11,7123,609875,0
12,7368,608837,0
13,8214,618820,0
14,8359,612592,0
15,8522,612321,0
16,8879,606042,0
17,8880,614854,0
18,9246,610294,0
19,9742,611053,0
20,9821,621250,0
21,9940,607424,0
22,9994,597071,0
23,10012,602094,0
24,10072,607188,0
25,10192,610003,0
26,10201,607823,0
27,10304,608158,0
28,10470,610225,0
29,10470,612526,0
30,10576,598925,0
31,10744,598721,0
32,10803,606239,0
33,10881,608254,0
34,11044,609706,0
35,11258,611274,0
36,11352,618850,0
37,11431,614108,0
38,11862,605475,0
39,12086,613176,0
40,12296,608384,0
41,12380,604331,0
42,12397,622081,0
43,12431,591899,0
44,12474,610854,0
45,12486,608197,0
46,12590,610288,0
47,12658,599870,0
48,12780,611613,0
49,12960,608646,0
50,12998,611634,0
51,13093,607219,0
52,13123,602529,0
53,13214,616476,0
54,13490,612846,0
55,13679,608553,0
56,13747,622489,0
57,13766,613526,0
58,13774,611895,0
59,13789,607561,0
60,13795,611731,0
61,13941,606105,0
62,14054,606710,0
63,14168,610197,0
64,14178,598251,0
65,14193,612446,0
66,14255,627140,0
67,14337,613580,0
68,14392,622432,0
69,14431,602531,0
70,14439,614690,0
71,14588,605485,0
72,14729,608397,0
73,14824,601430,0
74,14877,612152,0
75,14920,613523,0
76,14981,608634,0
77,15022,610773,0
78,15101,609225,0
79,15119,608248,0
80,15121,590825,0
81,15224,607073,0
82,15248,610506,0
83,15266,615186,0
84,15297,602659,0
85,15500,619137,0
86,15580,604109,0
87,15623,602328,0
88,15641,602010,0
89,15712,613090,0
90,15794,613569,0
91,15832,618007,0
92,16018,601429,0
93,16031,611440,0
94,16116,610411,0
95,16119,604765,0
96,16132,609255,0
97,16146,609734,0
98,16370,611353,0
99,16393,608040,0
100,16432,601409,0
101,16473,614852,0
102,16579,612361,0
103,16688,619066,0
104,16738,610290,0
105,16746,606128,0
106,16758,600432,0
107,17051,599895,0
108,17065,604020,0
109,17132,603151,0
110,17202,616937,0
111,17213,607278,0
112,17264,614376,0
113,17299,606407,0
114,17420,608225,0
115,17425,616668,0
116,17428,606934,0
117,17483,610387,0
118,17561,614289,0
119,17647,608912,0
120,17782,607264,0
121,17866,613051,0
122,17893,598950,0
123,17895,609959,0
124,17896,614430,0
125,18025,610378,0
126,18073,613459,0
127,18086,616882,0
128,18247,609303,0
129,18287,599528,0
130,18311,618225,0
131,18448,614324,0
132,18467,610904,0
133,18513,609050,0
134,18668,609655,0
135,18773,610110,0
136,18819,617772,0
137,18820,601727,0
138,18847,610932,0
139,18863,614460,0
140,18901,614958,0
141,19027,610243,0
142,19126,612542,0
143,19196,619426,0
144,19289,606072,0
145,19376,618414,0
146,19393,627175,0
147,19440,609171,0
148,19448,614184,0
149,19510,609800,0
150,19600,607827,0
151,19741,625241,0
152,19859,599606,0
153,20065,601836,0
154,20187,616794,0
155,20206,622992,0
156,20211,621211,0
157,20282,608424,0
158,20323,609779,0
159,20343,614684,0
160,20429,603717,0
161,20623,608627,0
162,20736,596782,0
163,20748,609720,0
164,20877,607860,0
165,20919,607499,0
166,20949,595856,0
167,20962,621182,0
168,20965,608491,0
169,21098,605003,0
170,21193,617152,0
171,21329,610924,0
172,21332,629034,0
173,21515,605975,0
174,21714,608775,0
175,21798,613616,0
176,21823,601361,0
177,21845,611949,0
178,21907,613756,0
179,22018,602366,0
180,22129,616124,0
181,22392,611751,0
182,22464,609987,0
183,22521,606665,0
184,22534,609748,0
185,22797,615230,0
186,22819,604452,0
187,22925,613871,0
188,22985,607093,0
189,23011,634483,0
190,23013,616752,0
191,23159,619241,0
192,23217,612418,0
193,23251,612068,0
194,23509,608748,0
195,23562,617071,0
196,23613,607777,0
197,23714,606936,0
198,23774,587612,0
199,24018,601882,0
200,24082,600776,0
201,24166,616867,0
202,24309,596568,0
203,24434,604677,0
204,24572,612770,0
205,24615,612112,0
206,24667,606429,0
207,25161,609167,0
208,25390,610840,0
209,25537,604907,0
210,25560,619605,0
211,26317,619328,0
212,26397,612797,0
213,26671,606194,0
214,26937,625076,0
215,27402,603172,0
216,27872,615624,0
217,28331,617640,0
218,28456,600727,0
219,28622,610903,0
220,29221,603162,0
221,30029,610746,0
222,30585,615769,0
223,30901,608346,0
224,30978,610678,0
225,102424,225570,0
226,106212,242475,0
227,108245,234416,0
228,108751,232344,0
229,108910,229329,0
230,108950,224822,0
231,109439,230344,0
232,110709,239110,0
233,111008,237424,0
234,111075,234559,0
235,111092,232291,0
236,111252,234795,0
237,111678,235253,0
238,112210,228831,0
239,112371,233145,0
240,112521,228684,0
241,112568,225428,0
242,112722,242851,0
243,112826,244174,0
244,113056,227116,0
245,113064,238952,0
246,113253,238822,0
247,113294,224623,0
248,113324,225601,0
249,113578,222855,0
250,113805,227019,0
251,113833,229687,0
252,114246,233900,0
253,114310,233732,0
254,114412,230852,0
255,115029,230211,0
256,115487,232967,0
257,115685,234438,0
258,115697,225749,0
259,115867,233602,0
260,115886,230956,0
261,115889,226517,0
262,115890,225675,0
263,115977,234463,0
264,116013,229941,0
265,116107,233513,0
266,116188,230220,0
267,116391,232998,0
268,116590,224158,0
269,116665,228931,0
270,116878,243800,0
271,116916,245855,0
272,117183,230199,0
273,117400,223951,0
274,117533,227825,0
275,117575,232322,0
276,117681,226118,0
277,117716,234098,0
278,117963,240012,0
279,117991,232174,0
280,118037,219547,0
281,118083,237523,0
282,118100,238982,0
283,118117,239719,0
284,118243,223566,0
285,118321,234006,0
286,118322,243842,0
287,118363,236090,0
288,118438,230834,0
289,118573,234354,0
290,118578,225148,0
291,118606,231239,0
292,118671,225585,0
293,118720,222838,0
294,118751,219055,0
295,118783,214017,0
296,118825,226365,0
297,118874,239600,0
298,118932,227049,0
299,118950,226824,0
300,119258,234090,0
301,119347,226131,0
302,119351,236905,0
303,119415,233721,0
304,119471,232992,0
305,119566,224336,0
306,119660,230699,0
307,119890,218423,0
308,119915,237581,0
309,120049,229038,0
310,120163,244312,0
311,120171,238193,0
312,120199,231672,0
313,120322,230149,0
314,120342,233862,0
315,120393,233382,0
316,120399,230997,0
317,120409,225120,0
318,120594,231487,0
319,120602,230989,0
320,120662,238457,0
321,120744,238273,0
322,120781,236046,0
323,120815,239702,0
324,120836,229499,0
325,121008,236519,0
326,121070,239199,0
327,121120,228684,0
328,121250,231555,0
329,121274,231056,0
330,121308,235486,0
331,121348,237092,0
332,121369,231067,0
333,121410,242889,0
334,121476,218437,0
335,121547,234883,0
336,121572,234998,0
337,121670,227905,0
338,121763,223622,0
339,121887,235252,0
340,121960,241825,0
341,121990,233678,0
342,121999,229355,0
343,122144,237051,0
344,122154,231016,0
345,122273,220361,0
346,122465,229572,0
347,122508,225995,0
348,122651,235043,0
349,122678,229319,0
350,122691,233688,0
351,122772,229636,0
352,122931,234985,0
353,122933,232916,0
354,122947,225190,0
355,122976,236645,0
356,122976,229826,0
357,122988,225203,0
358,123017,228240,0
359,123148,220330,0
360,123292,241419,0
361,123318,240537,0
362,123557,223908,0
363,123558,228648,0
364,123715,230684,0
365,123718,231376,0
366,123996,223051,0
367,124014,228493,0
368,124019,243135,0
369,124025,227692,0
370,124242,234970,0
371,124318,222605,0
372,124319,234194,0
373,124366,232198,0
374,124461,229510,0
375,124519,228393,0
376,124589,228853,0
377,124610,233624,0
378,124668,236641,0
379,124692,228588,0
380,124744,233376,0
381,124815,229193,0
382,124829,236646,0
383,124931,236009,0
384,124955,236994,0
385,124974,225623,0
386,125041,230140,0
387,125198,234325,0
388,125245,233404,0
389,125427,229253,0
390,125494,231274,0
391,125513,227404,0
392,125602,240272,0
393,125664,231710,0
394,125706,234322,0
395,125752,238354,0
396,125766,232195,0
397,125865,231676,0
398,125942,232447,0
399,125949,233374,0
400,126001,233983,0
401,126338,236796,0
402,126345,236576,0
403,126370,233951,0
404,126409,236130,0
405,126557,232535,0
406,126650,243778,0
407,126671,237986,0
408,126892,231317,0
409,126977,228076,0
410,127000,238415,0
411,127089,245833,0
412,127112,244016,0
413,127173,238340,0
414,127201,237736,0
415,127763,240615,0
416,127823,232266,0
417,128355,250020,0
418,128434,240681,0
419,128462,229752,0
420,128585,229485,0
421,128664,228825,0
422,128701,236645,0
423,128761,231974,0
424,129148,230440,0
425,129308,237311,0
426,129327,228945,0
427,129502,234938,0
428,129521,244475,0
429,129605,238752,0
430,129851,233320,0
431,130293,219356,0
432,130499,224012,0
433,130679,230845,0
434,130722,233111,0
435,130945,237064,0
436,131090,227000,0
437,131099,230420,0
438,131154,223675,0
439,131190,230970,0
440,131612,231199,0
441,131773,228363,0
442,131954,237948,0
443,132375,230760,0
444,132856,233613,0
445,132997,231078,0
446,134003,234479,0
447,134114,230599,0
448,134860,230094,0
449,142222,235151,0
450,210674,630925,0
451,212283,636100,0
452,213716,627233,0
453,214256,632115,0
454,214533,632924,0
455,215829,632784,0
456,215838,616309,0
457,215866,626724,0
458,216555,619422,0
459,216665,626286,0
460,218428,629307,0
461,218708,628810,0
462,218731,619112,0
463,218911,630835,0
464,219582,630767,0
465,219830,625329,0
466,219955,625860,0
467,220020,617800,0
468,220185,645182,0
469,220197,635288,0
470,220315,618449,0
471,220320,627040,0
472,220563,630400,0
473,220589,625434,0
474,220745,635244,0
475,220849,628524,0
476,220863,621299,0
477,220870,623073,0
478,220912,622573,0
479,220919,633720,0
480,220928,628297,0
481,221103,633318,0
